Data,Obra,Etapa,Fornecedor,Tipo,Descrição,Valor,Orçado,Status
03/09/2025,Residencial Vista Mar,Fundação,Concreteira Baía Sul,Material,Concreto usinado 25MPa,"26580,00","26710,00",Pago
07/09/2025,Residencial Vista Mar,Fundação,Administração local,Indireto,Administração local do canteiro,"7370,00","6370,00",Pago
07/09/2025,Edifício Solar de Camburi,Fundação,Locadora Serra Máquinas,Equipamento,Locação de bate-estacas,"24530,00","20820,00",Pago
09/09/2025,Residencial Vista Mar,Fundação,Equipe própria,Mão de obra,Equipe de armadores,"37660,00","26700,00",Pago
10/09/2025,Edifício Solar de Camburi,Fundação,Aços Capixaba,Material,Aço para armação de sapatas,"21140,00","19500,00",Pago
17/09/2025,Edifício Solar de Camburi,Fundação,Administração local,Indireto,Administração local do canteiro,"6020,00","6220,00",Pago
19/09/2025,Residencial Vista Mar,Fundação,Fundações Serra,Subempreiteiro,Estaqueamento hélice contínua,"41420,00","31190,00",Pago
20/09/2025,Residencial Vista Mar,Fundação,Fundações Serra,Subempreiteiro,Estaqueamento hélice contínua,"23690,00","23560,00",Pago
22/09/2025,Residencial Vista Mar,Fundação,Equipe própria,Mão de obra,Equipe de armadores,"26880,00","26870,00",Pago
23/09/2025,Edifício Solar de Camburi,Fundação,Equipe própria,Mão de obra,Equipe de armadores,"35410,00","35240,00",Pago
24/09/2025,Edifício Solar de Camburi,Fundação,EDP Espírito Santo,Indireto,Energia do canteiro,"3350,00","3660,00",Pago
28/09/2025,Residencial Vista Mar,Fundação,EDP Espírito Santo,Indireto,Energia do canteiro,"5280,00","5230,00",Pago
01/10/2025,Residencial Vista Mar,Fundação,Equipe própria,Mão de obra,Equipe de escavação,"33590,00","23070,00",Pago
01/10/2025,Residencial Vista Mar,Estrutura,Estruturas Camburi,Subempreiteiro,Serviço de concretagem de laje,"38850,00","32680,00",Pago
03/10/2025,Residencial Vista Mar,Fundação,Empreita Souza & Filhos,Mão de obra,Equipe de fôrma,"19050,00","18020,00",Pago
04/10/2025,Edifício Solar de Camburi,Fundação,Administração local,Indireto,Administração local do canteiro,"4150,00","4020,00",Pago
05/10/2025,Edifício Solar de Camburi,Estrutura,Equipe própria,Mão de obra,Equipe de concretagem,"25130,00","25640,00",Pago
06/10/2025,Edifício Solar de Camburi,Fundação,Fundações Serra,Subempreiteiro,Estaqueamento hélice contínua,"45520,00","40360,00",Pago
08/10/2025,Residencial Vista Mar,Fundação,Aços Capixaba,Material,Aço para armação de sapatas,"34370,00","31950,00",Pago
09/10/2025,Residencial Vista Mar,Estrutura,Aços Capixaba,Material,Aço CA-50 vergalhão,"42860,00","34430,00",Pago
10/10/2025,Edifício Solar de Camburi,Estrutura,Equipe própria,Mão de obra,Equipe de concretagem,"14080,00","14320,00",Pago
13/10/2025,Residencial Vista Mar,Estrutura,Madeireira Santa Rita,Material,Chapa compensada para fôrma,"24800,00","19780,00",Pago
15/10/2025,Residencial Vista Mar,Fundação,Empreita Souza & Filhos,Mão de obra,Equipe de fôrma,"23560,00","17540,00",Pago
15/10/2025,Residencial Vista Mar,Estrutura,Cerâmica Colatina,Material,Laje treliçada,"45720,00","31810,00",Pago
17/10/2025,Residencial Vista Mar,Fundação,Fundações Serra,Subempreiteiro,Estaqueamento hélice contínua,"29900,00","24300,00",Pago
17/10/2025,Residencial Vista Mar,Fundação,Concreteira Baía Sul,Material,Brita e areia lavada,"36520,00","30100,00",Pago
17/10/2025,Edifício Solar de Camburi,Estrutura,Equipe própria,Mão de obra,Equipe de concretagem,"34180,00","32670,00",Pago
18/10/2025,Residencial Vista Mar,Fundação,Administração local,Indireto,Administração local do canteiro,"8100,00","7020,00",Pago
18/10/2025,Edifício Solar de Camburi,Fundação,Concreteira Baía Sul,Material,Brita e areia lavada,"14170,00","17060,00",Pago
19/10/2025,Residencial Vista Mar,Fundação,EDP Espírito Santo,Indireto,Energia do canteiro,"7210,00","6210,00",Pago
19/10/2025,Edifício Solar de Camburi,Estrutura,Aços Capixaba,Material,Aço CA-50 vergalhão,"31660,00","32120,00",Pago
20/10/2025,Edifício Solar de Camburi,Estrutura,Aços Capixaba,Material,Aço CA-50 vergalhão,"23270,00","20360,00",Pago
21/10/2025,Edifício Solar de Camburi,Fundação,Concreteira Baía Sul,Material,Brita e areia lavada,"22280,00","24940,00",Pago
23/10/2025,Residencial Vista Mar,Estrutura,Aços Capixaba,Material,Aço CA-50 vergalhão,"20830,00","19070,00",Pago
24/10/2025,Residencial Vista Mar,Fundação,Depósito Praia Grande,Material,Manta asfáltica de baldrame,"27130,00","25430,00",Pago
25/10/2025,Residencial Vista Mar,Estrutura,Concreteira Baía Sul,Material,Concreto usinado 30MPa,"26580,00","19070,00",Pago
26/10/2025,Edifício Solar de Camburi,Fundação,EDP Espírito Santo,Indireto,Energia do canteiro,"4420,00","4340,00",Pago
